127.0.0.1 - - [10/Mar/2021:16:12:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:12:17 +0530] "GET /Supermarket_Management_System/login.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:12:17 +0530] "GET /Supermarket_Management_System/css/signup-style.css HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:12:38 +0530] "GET /Supermarket_Management_System/login.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:12:38 +0530] "GET /Supermarket_Management_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:12:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:13:05 +0530] "POST /Supermarket_Management_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:13:05 +0530] "GET /Supermarket_Management_System/login.jsp?msg=notexist HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:15:54 +0530] "POST /Supermarket_Management_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:15:54 +0530] "GET /Supermarket_Management_System/home.jsp HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:15:54 +0530] "GET /Supermarket_Management_System/css/home-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:17:10 +0530] "POST /Supermarket_Management_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:17:10 +0530] "GET /Supermarket_Management_System/login.jsp?msg=notexist HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:17:22 +0530] "POST /Supermarket_Management_System/loginAction.jsp HTTP/1.1" 302 -
