0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:19:50 +0530] "POST /Supermarket_Management_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:19:50 +0530] "GET /Supermarket_Management_System/home.jsp HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:19:57 +0530] "GET /Supermarket_Management_System/myCart.jsp HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:20:04 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=2&quantity=inc HTTP/1.1" 500 2604
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:25:54 +0530] "GET /Supermarket_Management_System/myCart.jsp HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:25:54 +0530] "GET /Supermarket_Management_System/css/home-style.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:11 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=1&quantity=inc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:11 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=inc HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:27 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=1&quantity=dec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:27 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=dec HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:32 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=2&quantity=inc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:32 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=inc HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:36 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=2&quantity=inc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:36 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=inc HTTP/1.1" 200 4048
